brandId,brandName,name,bio,price,currency,category,imageUrl,productUrl,isFeatured
,AL HAYAJAB, نهلة Nahla,"Featuring a high neckline and billowing long sleeves with delicate gathered cuffs, this gown blends vintage charm with contemporary style. The belt cinches the waistline, while the tiered skirt flows gracefully, creating an ethereal, regal effect. Dress is double lined.",45,GBP,abayas,https://alhayajab.com/cdn/shop/files/D21573B9-FC58-4BEE-9CE0-1B7908BD1B6C_1.jpg,https://alhayajab.com/products/nala-%D9%86%D9%87%D9%84%D8%A9-pre-order,0
,AL HAYAJAB, وردة Warda,Tap into your feminine energy with our closed abaya kaftan style. Sleeves also include  subtle shimmer white bead work! ,50,GBP,abayas,https://alhayajab.com/cdn/shop/files/BAC9A3C2-D3D3-423E-AC73-5023993CA088.jpg,https://alhayajab.com/products/warda-%D9%88%D8%B1%D8%AF%D8%A9,0
,AL HAYAJAB,Dahlia داليا (Mint Blue),"Elevate your evening wardrobe with this high neck abaya dress, adorned with floral crystal embellishments. Designed to make a statement, this abaya combines timeless sophistication with modern glamour. The intricate detailing along the neckline, cuffs, and matching detachable waist belt adds a touch of elegance, making it the perfect choice for formal events or special occasions.",85,GBP,abayas,https://alhayajab.com/cdn/shop/files/IMG_2137_7294a109-c6ee-4977-b664-0c02d6ad3edf.jpg,https://alhayajab.com/products/dahlia-%D8%AF%D8%A7%D9%84%D9%8A%D8%A7-mint-blue,0
,AL HAYAJAB, غزالي Ghazali,"Look fabulous in this stunning black abaya which features oversized batwing style and glass bead handwork along the sleeves - perfect for making a splash on special occasions. For an extra touch of elegance, the abaya pairs perfectly with the matching plain headscarf!",110,GBP,abayas,https://alhayajab.com/products/ghazali,https://alhayajab.com/cdn/shop/products/image_8ee22dec-661b-43f7-9ee2-4f90792fa113.jpg,1
,AL HAYAJAB,Jannati جنتي (Green),"Look fabulous in our head-turning silk abaya which features oversized, batwing style & split sleeves! The abaya includes silver glass bead handwork along the shoulders and back - perfect for making a splash on special occasions.",110,GBP,abayas,https://alhayajab.com/products/jannati-%D8%AC%D9%86%D8%AA%D9%8A,https://alhayajab.com/cdn/shop/files/image_707ec9d4-2f4d-4063-9bec-372828eee0f2.jpg,1
,AL HAYAJAB,زهرة Zohra,"Look fabulous in this stunning black abaya embroidered with gold beadwork & jewels! - perfect for making a splash on special occasions. For an extra touch of elegance, the abaya pairs perfectly with the matching embroidered headscarf!",110,GBP,abayas,https://alhayajab.com/cdn/shop/files/89995184-C127-468F-AAF0-A672AF32CF37.jpg,https://alhayajab.com/products/zohra-%D8%B2%D9%87%D8%B1%D8%A9,0
,AL HAYAJAB, حبيبة Habiba,A bold silk & satin blend abaya adorned with silver jewels and beadwork. Sleeves include a subtle split for extra character. This abaya is definitely a bold statement when entering any room with its airy cut. The perfect occasion abaya.,110,GBP,abayas,https://alhayajab.com/cdn/shop/files/79EBC7C6-25CB-4FF2-9A4D-10F4A7B8C51F.jpg,https://alhayajab.com/products/habiba-%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9,0
,AL HAYAJAB, إيمان Iman,"A graceful abaya, detailed with intricate Afghan culture inspired glass mirror embroidery along perimeter of the abaya. The details include delicate floral motifs, accented with mirrors as well as fabric piping. The abaya's flowing fabric exudes elegance, while the detailed embroidery brings a sophisticated charm to the overall look. Perfect for formal or special occasions, the design strikes a balance between traditional modesty and contemporary style, making it a timeless wardrobe piece.",110,GBP,abayas,https://alhayajab.com/cdn/shop/files/IMG_2577.jpg,https://alhayajab.com/products/iman-%D8%A5%D9%8A%D9%85%D8%A7%D9%86-pre-order,0
,AL HAYAJAB,Hawa حَوَّاء (Black),"Look fabulous in this stunning oversized batwing style abaya. Features include intricate silver bead handwork along the sleeves, an elegant slit at the bottom of the abaya, which is also embellished with beadwork, and the softest feathers to bring the whole look together - perfect for making a splash on special occasions.",115,GBP,abayas,https://alhayajab.com/cdn/shop/files/9B7FC502-A045-4BF9-B633-F2E38A3010B8.png,https://alhayajab.com/products/hawa-%D9%87%D9%88%D8%A7,0
,AL HAYAJAB,Meera میرا (Silver),"A closed abaya which showcases harmonious blend of intricate glass beadwork crafted into delicate floral motifs. The contrasting gems adds a touch of sophistication, elevating the design into a refined and feminine statement piece. ",120,GBP,abayas,https://alhayajab.com/cdn/shop/files/B48B74AD-71F4-4CC9-BBB5-95FF4212928B.jpg,https://alhayajab.com/products/meera,0
,AL HAYAJAB,Sima سيما (Black),"An abaya which showcases harmonious blend of black, adorned with intricate glass beadwork crafted into delicate vine leaf motifs. The contrasting net fabric adds a touch of sophistication, elevating the design into a refined and feminine statement piece. Side slits enhance the silhouette with graceful movement, making this abaya the perfect choice for special occasions.",120,GBP,abayas,https://alhayajab.com/cdn/shop/files/FullSizeRender_60b431b0-60a1-4e97-9190-40f766a17592.jpg,https://alhayajab.com/products/sima-%D8%B3%D9%8A%D9%85%D8%A7,0
,AL HAYAJAB, أمينة Amina,Look fabulous in our show stopper crepe abaya! Sleeves are a combination between a batwing cut style and normal straight cut to give a loose fit. Sleeves also include a subtle shimmered split sleeves! The bodice of abaya includes silver glass bead handwork across the middle of the abaya horizontally - perfect for making a splash on special occasions.,125,GBP,abayas,https://alhayajab.com/products/amina-%D8%A2%D9%85%D9%86%D8%A9,https://alhayajab.com/cdn/shop/files/IMG_7860_2.jpg,1
,AL HAYAJAB,Khawlah خولة (Blue),"Discover the incomparable elegance of the Khawlah open abaya, adorned with hand-crafted glass beadwork cascading along the dramatic split sleeves. Perfect for those special moments, this exquisite ensemble also includes a coordinating headscarf.",135,GBP,abayas,https://alhayajab.com/cdn/shop/files/FullSizeRender_17619e48-92e6-4af9-8fd8-a31a22a9697e.jpg,https://alhayajab.com/products/khawlah-%D8%AE%D9%88%D9%84%D8%A9,0
,AL HAYAJAB,Amal أمال (Black/Silver),"Discover the incomparable elegance of the Amal black open abaya, adorned with hand-crafted glass beadwork cascading along the sleeves. Perfect for those special moments, this exquisite ensemble also includes a plain headscarf.",135,GBP,abayas,https://alhayajab.com/cdn/shop/files/79371538-64E3-4B1C-A86A-28C79B479996.jpg,https://alhayajab.com/products/amal-%D8%A3%D9%85%D8%A7%D9%84,0
,AL HAYAJAB,Dahlia داليا (Black),"Elevate your evening wardrobe with this high neck black abaya dress, adorned with floral crystal embellishments. Designed to make a statement, this abaya combines timeless sophistication with modern glamour. The intricate detailing along the neckline, cuffs, and matching detachable waist belt adds a touch of elegance, making it the perfect choice for formal events or special occasions.",135,GBP,abayas,https://alhayajab.com/cdn/shop/files/IMG_3325.jpg,https://alhayajab.com/products/dahlia-%D8%AF%D8%A7%D9%84%D9%8A%D8%A7,0
